source,category,action,destination,note
/college/notre-dame/iowa-state-football-team-reenacted-rudy-jersey-scene,misc,review,,manual review — does not match WP-style pattern
/college/notre-dame/irish-basketball-opener-spoiled-by-cole-anthony,misc,review,,manual review — does not match WP-style pattern
/college/notre-dame/irish-commit-named-finalist-for-hs-heisman,misc,review,,manual review — does not match WP-style pattern
/college/notre-dame/irish-finish-12th-in-ap-top-25,misc,review,,manual review — does not match WP-style pattern
/college/notre-dame/irish-football-is-back-off-season-recap,misc,review,,manual review — does not match WP-style pattern
/college/notre-dame/irish-look-to-rebound-in-nfl-draft,misc,review,,manual review — does not match WP-style pattern
/college/notre-dame/irish-mockery-mock-draft-2-0,misc,review,,manual review — does not match WP-style pattern
/college/notre-dame/irish-ot-target-landon-tengwall-announces-decision,misc,review,,manual review — does not match WP-style pattern
/college/notre-dame/irish-snag-chicago-marist-ot-pat-coogan,misc,review,,manual review — does not match WP-style pattern
/college/notre-dame/irish-win-de-commit-over-alabama-lsu-oklahoma,misc,review,,manual review — does not match WP-style pattern
/college/notre-dame/is-it-time-to-turn-the-page-on-ian-book,misc,review,,manual review — does not match WP-style pattern
/college/notre-dame/knowing-your-enemy-virginia-tech-hokies,misc,review,,manual review — does not match WP-style pattern
/college/notre-dame/kyle-hamilton-wire-to-wire-freshman-all-american,misc,review,,manual review — does not match WP-style pattern
/college/notre-dame/legendary-notre-dame-public-address-announcer-retiring,misc,review,,manual review — does not match WP-style pattern
/college/notre-dame/may-i-have-your-attention-please-sgt-tim-mccarthy,misc,review,,manual review — does not match WP-style pattern
/college/notre-dame/nd-commit-tyler-buchner-is-five-star-again-for-real-this-time,misc,review,,manual review — does not match WP-style pattern
/college/notre-dame/nd-midyear-evaluation-can-we-beat-michigan,misc,review,,manual review — does not match WP-style pattern
/college/notre-dame/notre-dame-class-of-2020-showing-out-on-national-stage,misc,review,,manual review — does not match WP-style pattern
/college/notre-dame/notre-dame-commit-arrested-for-stealing-guns,misc,review,,manual review — does not match WP-style pattern
/college/notre-dame/notre-dame-extends-home-winning-streak,misc,review,,manual review — does not match WP-style pattern
/college/notre-dame/notre-dame-fan-base-must-come-together-now-more-than-ever,misc,review,,manual review — does not match WP-style pattern
